Estatus,Clave de AGEE,Nombre de AGEE,Nombre Abreviado de AGEE,Clave de AGEM,Nombre de AGEM,Clave Localidad Geoestadística,Nombre Localidad Geoestadística,Ámbito,Latitud,Longitud,Latitud decimal,Longitud decimal,Altitud,Clave carta,Población total,Población masculina,Población femenina,Total de viviendas habitadas,
"","01","Aguascalientes","Ags.","001","Aguascalientes","0001","Aguascalientes","U","21°52'47.362"N","102°17'45.768"W","21.87982200","-102.29604600","1878","F13D19","863893","419168","444725","246259",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0094","Granja Adelita","R","21°52'18.749"N","102°22'24.710"W","21.87187400","-102.37353000","1902","F13D18","5","-2","-2","2",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0096","Agua Azul","R","21°53'01.522"N","102°21'25.639"W","21.88375600","-102.35712200","1861","F13D18","41","24","17","12",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0100","Rancho Alegre","R","21°51'16.556"N","102°22'21.884"W","21.85459900","-102.37274500","1879","F13D18","0","0","0","0",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0102","Los Arbolitos [Rancho]","R","21°46'48.650"N","102°21'26.261"W","21.78018000","-102.35729500","1861","F13D18","8","-2","-2","2",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0104","Ardillas de Abajo (Las Ardillas)","R","21°56'42.243"N","102°11'30.914"W","21.94506700","-102.19192000","1989","F13D19","1","-2","-2","1",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0106","Arellano","R","21°48'06.384"N","102°16'26.238"W","21.80177300","-102.27395400","1892","F13D19","1169","613","556","281",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0112","Bajío los Vázquez","R","21°44'50.978"N","102°07'29.341"W","21.74749400","-102.12481600","1971","F13D29","41","20","21","9",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0113","Bajío de Montoro","R","21°45'28.377"N","102°17'24.472"W","21.75788300","-102.29013100","1871","F13D19","0","0","0","0",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0120","Buenavista de Peñuelas","R","21°43'08.930"N","102°17'35.503"W","21.71914700","-102.29319500","1871","F13D29","1054","542","512","255",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0121","Cabecita 3 Marías (Rancho Nuevo)","R","21°46'28.857"N","102°24'46.772"W","21.77468200","-102.41299200","1908","F13D18","192","92","100","47",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0125","Cañada Grande de Cotorina","R","21°47'02.626"N","102°14'11.261"W","21.78406200","-102.23646100","1981","F13D19","493","231","262","115",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0126","Cañada Honda [Estación]","R","22°00'27.915"N","102°11'49.149"W","22.00775400","-102.19698600","1927","F13B89","536","275","261","136",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0127","Los Caños","R","21°46'57.179"N","102°28'00.707"W","21.78254900","-102.46686200","1909","F13D18","1225","602","623","341",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0128","El Cariñán","R","21°53'39.885"N","102°22'14.606"W","21.89441200","-102.37072300","1889","F13D18","256","131","125","56",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0135","El Cedazo (Cedazo de San Antonio)","R","21°41'54.793"N","102°18'38.758"W","21.69855300","-102.31076600","1860","F13D29","322","167","155","69",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0138","Centro de Arriba (El Taray)","R","21°43'51.627"N","102°29'55.369"W","21.73100700","-102.49871300","1871","F13D28","1172","550","622","316",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0139","Cieneguilla (La Lumbrera)","R","21°43'56.195"N","102°27'12.732"W","21.73227600","-102.45353700","1825","F13D28","997","502","495","252",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0141","Cobos","R","21°49'30.440"N","102°14'02.290"W","21.82512200","-102.23396900","1939","F13D19","11","6","5","3",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0144","El Colorado (El Soyatal)","R","21°54'15.960"N","102°10'05.610"W","21.90443300","-102.16822400","2023","F13D19","468","217","251","116",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0146","El Conejal","R","21°54'59.969"N","102°12'29.201"W","21.91665800","-102.20811100","1988","F13D19","1081","543","538","241",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0157","Cotorina de Abajo","R","21°45'23.789"N","102°15'59.459"W","21.75660800","-102.26651600","1888","F13D19","55","27","28","15",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0162","Coyotes","R","21°52'09.453"N","102°20'28.732"W","21.86929200","-102.34131400","1854","F13D18","318","161","157","74",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0166","La Huerta (La Cruz)","R","21°41'15.606"N","102°26'53.140"W","21.68766800","-102.44809400","1766","F13D28","0","0","0","0",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0170","Cuauhtémoc (Las Palomas)","R","21°45'22.882"N","102°21'04.181"W","21.75635600","-102.35116100","1826","F13D18","468","239","229","124",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0171","Los Cuervos (Los Ojos de Agua)","R","21°43'51.204"N","102°09'38.871"W","21.73088900","-102.16079800","1974","F13D29","419","199","220","101",
"","01","Aguascalientes","Ags.","001","Aguascalientes","0172","San José [Granja]","R","21°51'55.072"N","102°22'57.860"W","21.86529800","-102.38273800","1907","F13D18","7","-2","-2","1",
